bank_name,loan_type,interest_rate,tenure_years,min_amount,max_amount,processing_fee,employment_type,location,description
Kotak,Vehicle Loan,11.51,5,100000,1000000,₹8744,Self-Employed,Miyapur,"Kotak offers a vehicle loan at 11.51% for up to ₹1000000 in Miyapur, Hyderabad."
Kotak,Vehicle Loan,11.03,15,50000,500000,₹8832,Pensioner,Banjara Hills,"Kotak offers a vehicle loan at 11.03% for up to ₹500000 in Banjara Hills, Hyderabad."
IDFC First,Vehicle Loan,12.66,1,50000,1000000,₹6474,Government,Jubilee Hills,"IDFC First offers a vehicle loan at 12.66% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Axis,Education Loan,11.0,20,200000,1000000,₹9347,Pensioner,LB Nagar,"Axis offers a education loan at 11.0% for up to ₹1000000 in LB Nagar, Hyderabad."
Yes Bank,Vehicle Loan,13.43,15,50000,500000,₹8834,Pensioner,Kondapur,"Yes Bank offers a vehicle loan at 13.43% for up to ₹500000 in Kondapur, Hyderabad."
Canara,Home Loan,8.14,15,50000,500000,₹8509,Self-Employed,Dilsukhnagar,"Canara offers a home loan at 8.14% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Canara,Home Loan,10.89,20,200000,2000000,₹6782,Self-Employed,Kondapur,"Canara offers a home loan at 10.89% for up to ₹2000000 in Kondapur, Hyderabad."
ICICI,Vehicle Loan,7.62,15,50000,500000,₹2453,Self-Employed,Gachibowli,"ICICI offers a vehicle loan at 7.62% for up to ₹500000 in Gachibowli, Hyderabad."
SBI,Personal Loan,10.48,5,50000,2000000,₹1614,Government,Dilsukhnagar,"SBI offers a personal loan at 10.48% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Axis,Home Loan,13.09,3,200000,500000,₹7137,Self-Employed,Gachibowli,"Axis offers a home loan at 13.09% for up to ₹500000 in Gachibowli, Hyderabad."
Axis,Home Loan,11.38,15,200000,1000000,₹1938,Government,Gachibowli,"Axis offers a home loan at 11.38% for up to ₹1000000 in Gachibowli, Hyderabad."
Canara,Personal Loan,7.44,2,50000,1000000,₹8499,Pensioner,Gachibowli,"Canara offers a personal loan at 7.44% for up to ₹1000000 in Gachibowli, Hyderabad."
Kotak,Vehicle Loan,13.86,20,200000,1000000,₹7027,Pensioner,Kondapur,"Kotak offers a vehicle loan at 13.86% for up to ₹1000000 in Kondapur, Hyderabad."
Yes Bank,Vehicle Loan,9.46,2,200000,2000000,₹3727,Pensioner,Tolichowki,"Yes Bank offers a vehicle loan at 9.46% for up to ₹2000000 in Tolichowki, Hyderabad."
SBI,Home Loan,9.68,15,100000,1000000,₹8247,Pensioner,Kondapur,"SBI offers a home loan at 9.68% for up to ₹1000000 in Kondapur, Hyderabad."
IDFC First,Home Loan,9.83,20,200000,1000000,₹5690,Government,Jubilee Hills,"IDFC First offers a home loan at 9.83% for up to ₹1000000 in Jubilee Hills, Hyderabad."
IDFC First,Vehicle Loan,10.94,15,50000,500000,₹8425,Self-Employed,LB Nagar,"IDFC First offers a vehicle loan at 10.94% for up to ₹500000 in LB Nagar, Hyderabad."
Canara,Vehicle Loan,12.17,10,50000,500000,₹4755,Self-Employed,Dilsukhnagar,"Canara offers a vehicle loan at 12.17% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Axis,Education Loan,13.91,15,200000,1000000,₹3930,Self-Employed,Mehdipatnam,"Axis offers a education loan at 13.91% for up to ₹1000000 in Mehdipatnam, Hyderabad."
ICICI,Education Loan,9.66,5,200000,1000000,₹7981,Self-Employed,Dilsukhnagar,"ICICI offers a education loan at 9.66% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
Canara,Education Loan,8.96,20,50000,500000,₹1340,Salaried,Kukatpally,"Canara offers a education loan at 8.96% for up to ₹500000 in Kukatpally, Hyderabad."
BOB,Home Loan,13.0,10,200000,500000,₹2504,Pensioner,Banjara Hills,"BOB offers a home loan at 13.0% for up to ₹500000 in Banjara Hills, Hyderabad."
Kotak,Education Loan,10.95,10,50000,1000000,₹6759,Pensioner,Tolichowki,"Kotak offers a education loan at 10.95% for up to ₹1000000 in Tolichowki, Hyderabad."
Axis,Personal Loan,14.51,1,50000,500000,₹3889,Salaried,Kukatpally,"Axis offers a personal loan at 14.51% for up to ₹500000 in Kukatpally, Hyderabad."
Kotak,Vehicle Loan,13.11,2,50000,500000,₹4818,Pensioner,Jubilee Hills,"Kotak offers a vehicle loan at 13.11% for up to ₹500000 in Jubilee Hills, Hyderabad."
ICICI,Education Loan,11.82,3,200000,500000,₹8932,Self-Employed,Ameerpet,"ICICI offers a education loan at 11.82% for up to ₹500000 in Ameerpet, Hyderabad."
IDFC First,Vehicle Loan,9.98,10,200000,1000000,₹8141,Self-Employed,Kukatpally,"IDFC First offers a vehicle loan at 9.98% for up to ₹1000000 in Kukatpally, Hyderabad."
ICICI,Vehicle Loan,13.84,20,200000,2000000,₹9052,Pensioner,Hitech City,"ICICI offers a vehicle loan at 13.84% for up to ₹2000000 in Hitech City, Hyderabad."
Yes Bank,Education Loan,14.27,10,100000,2000000,₹7051,Salaried,Tolichowki,"Yes Bank offers a education loan at 14.27% for up to ₹2000000 in Tolichowki, Hyderabad."
IDFC First,Personal Loan,9.31,5,200000,2000000,₹8497,Self-Employed,Ameerpet,"IDFC First offers a personal loan at 9.31% for up to ₹2000000 in Ameerpet, Hyderabad."
Axis,Education Loan,13.82,20,200000,500000,₹1585,Pensioner,Dilsukhnagar,"Axis offers a education loan at 13.82% for up to ₹500000 in Dilsukhnagar, Hyderabad."
BOB,Education Loan,8.64,5,200000,1000000,₹5534,Self-Employed,Gachibowli,"BOB offers a education loan at 8.64% for up to ₹1000000 in Gachibowli, Hyderabad."
Canara,Personal Loan,7.73,10,100000,2000000,₹9018,Pensioner,Gachibowli,"Canara offers a personal loan at 7.73% for up to ₹2000000 in Gachibowli, Hyderabad."
Yes Bank,Education Loan,12.55,15,50000,2000000,₹4875,Pensioner,LB Nagar,"Yes Bank offers a education loan at 12.55% for up to ₹2000000 in LB Nagar, Hyderabad."
PNB,Education Loan,12.12,15,50000,1000000,₹9526,Government,Miyapur,"PNB offers a education loan at 12.12% for up to ₹1000000 in Miyapur, Hyderabad."
Canara,Education Loan,12.77,20,50000,2000000,₹4217,Pensioner,Gachibowli,"Canara offers a education loan at 12.77% for up to ₹2000000 in Gachibowli, Hyderabad."
ICICI,Personal Loan,13.48,10,50000,500000,₹2826,Government,Madhapur,"ICICI offers a personal loan at 13.48% for up to ₹500000 in Madhapur, Hyderabad."
PNB,Personal Loan,11.74,15,50000,500000,₹8167,Salaried,Begumpet,"PNB offers a personal loan at 11.74% for up to ₹500000 in Begumpet, Hyderabad."
BOB,Personal Loan,13.59,2,50000,1000000,₹9851,Government,Mehdipatnam,"BOB offers a personal loan at 13.59% for up to ₹1000000 in Mehdipatnam, Hyderabad."
SBI,Home Loan,8.09,2,100000,2000000,₹4855,Pensioner,Dilsukhnagar,"SBI offers a home loan at 8.09% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
ICICI,Vehicle Loan,12.26,3,200000,2000000,₹6462,Self-Employed,Tolichowki,"ICICI offers a vehicle loan at 12.26% for up to ₹2000000 in Tolichowki, Hyderabad."
BOB,Home Loan,10.53,3,200000,500000,₹4184,Government,Jubilee Hills,"BOB offers a home loan at 10.53% for up to ₹500000 in Jubilee Hills, Hyderabad."
Axis,Education Loan,9.53,2,100000,1000000,₹6012,Salaried,Gachibowli,"Axis offers a education loan at 9.53% for up to ₹1000000 in Gachibowli, Hyderabad."
BOB,Vehicle Loan,11.73,2,200000,2000000,₹6571,Self-Employed,Hitech City,"BOB offers a vehicle loan at 11.73% for up to ₹2000000 in Hitech City, Hyderabad."
ICICI,Personal Loan,8.37,5,100000,500000,₹8772,Pensioner,Madhapur,"ICICI offers a personal loan at 8.37% for up to ₹500000 in Madhapur, Hyderabad."
HDFC,Personal Loan,14.74,10,50000,1000000,₹5327,Self-Employed,Gachibowli,"HDFC offers a personal loan at 14.74% for up to ₹1000000 in Gachibowli, Hyderabad."
Axis,Personal Loan,9.35,5,100000,2000000,₹5013,Self-Employed,Mehdipatnam,"Axis offers a personal loan at 9.35% for up to ₹2000000 in Mehdipatnam, Hyderabad."
BOB,Education Loan,13.39,3,200000,2000000,₹6056,Salaried,Secunderabad,"BOB offers a education loan at 13.39% for up to ₹2000000 in Secunderabad, Hyderabad."
SBI,Vehicle Loan,10.57,3,50000,1000000,₹2225,Government,Kukatpally,"SBI offers a vehicle loan at 10.57% for up to ₹1000000 in Kukatpally, Hyderabad."
HDFC,Education Loan,13.72,5,50000,1000000,₹3285,Pensioner,Gachibowli,"HDFC offers a education loan at 13.72% for up to ₹1000000 in Gachibowli, Hyderabad."
PNB,Education Loan,9.81,20,50000,1000000,₹6520,Salaried,Tolichowki,"PNB offers a education loan at 9.81% for up to ₹1000000 in Tolichowki, Hyderabad."
ICICI,Vehicle Loan,7.73,2,50000,2000000,₹3617,Salaried,Dilsukhnagar,"ICICI offers a vehicle loan at 7.73% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Canara,Vehicle Loan,8.25,15,200000,1000000,₹2570,Salaried,Secunderabad,"Canara offers a vehicle loan at 8.25% for up to ₹1000000 in Secunderabad, Hyderabad."
SBI,Personal Loan,11.81,20,50000,2000000,₹3011,Salaried,Dilsukhnagar,"SBI offers a personal loan at 11.81% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
BOB,Education Loan,8.77,5,50000,2000000,₹7111,Government,Kondapur,"BOB offers a education loan at 8.77% for up to ₹2000000 in Kondapur, Hyderabad."
BOB,Education Loan,11.44,10,100000,2000000,₹4888,Government,Gachibowli,"BOB offers a education loan at 11.44% for up to ₹2000000 in Gachibowli, Hyderabad."
Yes Bank,Vehicle Loan,9.71,10,50000,500000,₹1902,Salaried,Jubilee Hills,"Yes Bank offers a vehicle loan at 9.71% for up to ₹500000 in Jubilee Hills, Hyderabad."
Yes Bank,Vehicle Loan,8.24,3,200000,500000,₹8511,Self-Employed,Mehdipatnam,"Yes Bank offers a vehicle loan at 8.24% for up to ₹500000 in Mehdipatnam, Hyderabad."
IDFC First,Education Loan,12.74,20,50000,500000,₹8194,Government,Kondapur,"IDFC First offers a education loan at 12.74% for up to ₹500000 in Kondapur, Hyderabad."
HDFC,Education Loan,9.65,3,100000,1000000,₹6068,Government,LB Nagar,"HDFC offers a education loan at 9.65% for up to ₹1000000 in LB Nagar, Hyderabad."
PNB,Home Loan,12.77,1,200000,500000,₹5570,Pensioner,Hitech City,"PNB offers a home loan at 12.77% for up to ₹500000 in Hitech City, Hyderabad."
HDFC,Personal Loan,10.78,1,50000,1000000,₹5224,Pensioner,Mehdipatnam,"HDFC offers a personal loan at 10.78% for up to ₹1000000 in Mehdipatnam, Hyderabad."
IDFC First,Home Loan,12.11,5,50000,500000,₹3911,Salaried,Mehdipatnam,"IDFC First offers a home loan at 12.11% for up to ₹500000 in Mehdipatnam, Hyderabad."
SBI,Education Loan,9.97,5,50000,2000000,₹2720,Self-Employed,Mehdipatnam,"SBI offers a education loan at 9.97% for up to ₹2000000 in Mehdipatnam, Hyderabad."
Axis,Personal Loan,9.91,5,50000,2000000,₹4653,Salaried,Jubilee Hills,"Axis offers a personal loan at 9.91% for up to ₹2000000 in Jubilee Hills, Hyderabad."
ICICI,Education Loan,12.09,10,50000,1000000,₹6276,Salaried,LB Nagar,"ICICI offers a education loan at 12.09% for up to ₹1000000 in LB Nagar, Hyderabad."
BOB,Personal Loan,10.66,3,200000,2000000,₹8989,Pensioner,Kondapur,"BOB offers a personal loan at 10.66% for up to ₹2000000 in Kondapur, Hyderabad."
ICICI,Home Loan,12.55,20,50000,1000000,₹1253,Salaried,Tolichowki,"ICICI offers a home loan at 12.55% for up to ₹1000000 in Tolichowki, Hyderabad."
ICICI,Vehicle Loan,13.11,3,200000,1000000,₹3940,Government,Jubilee Hills,"ICICI offers a vehicle loan at 13.11% for up to ₹1000000 in Jubilee Hills, Hyderabad."
ICICI,Education Loan,11.42,10,100000,500000,₹5488,Salaried,Banjara Hills,"ICICI offers a education loan at 11.42% for up to ₹500000 in Banjara Hills, Hyderabad."
BOB,Home Loan,10.63,5,100000,2000000,₹7153,Salaried,Miyapur,"BOB offers a home loan at 10.63% for up to ₹2000000 in Miyapur, Hyderabad."
SBI,Education Loan,13.61,20,200000,500000,₹4760,Pensioner,Secunderabad,"SBI offers a education loan at 13.61% for up to ₹500000 in Secunderabad, Hyderabad."
IDFC First,Education Loan,11.69,15,200000,1000000,₹5903,Government,Kukatpally,"IDFC First offers a education loan at 11.69% for up to ₹1000000 in Kukatpally, Hyderabad."
SBI,Education Loan,9.82,15,100000,1000000,₹3244,Government,Banjara Hills,"SBI offers a education loan at 9.82% for up to ₹1000000 in Banjara Hills, Hyderabad."
HDFC,Education Loan,10.53,2,100000,1000000,₹9674,Government,Begumpet,"HDFC offers a education loan at 10.53% for up to ₹1000000 in Begumpet, Hyderabad."
HDFC,Vehicle Loan,12.85,5,200000,500000,₹3872,Self-Employed,Gachibowli,"HDFC offers a vehicle loan at 12.85% for up to ₹500000 in Gachibowli, Hyderabad."
Axis,Personal Loan,7.76,5,100000,500000,₹8111,Self-Employed,Dilsukhnagar,"Axis offers a personal loan at 7.76% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Axis,Home Loan,13.68,20,200000,2000000,₹1811,Pensioner,Hitech City,"Axis offers a home loan at 13.68% for up to ₹2000000 in Hitech City, Hyderabad."
Yes Bank,Education Loan,12.05,5,200000,1000000,₹4133,Government,Madhapur,"Yes Bank offers a education loan at 12.05% for up to ₹1000000 in Madhapur, Hyderabad."
SBI,Vehicle Loan,7.71,5,50000,1000000,₹6105,Pensioner,Secunderabad,"SBI offers a vehicle loan at 7.71% for up to ₹1000000 in Secunderabad, Hyderabad."
Yes Bank,Vehicle Loan,8.53,10,50000,1000000,₹5615,Salaried,Ameerpet,"Yes Bank offers a vehicle loan at 8.53% for up to ₹1000000 in Ameerpet, Hyderabad."
ICICI,Education Loan,9.49,10,50000,1000000,₹2251,Pensioner,Tolichowki,"ICICI offers a education loan at 9.49% for up to ₹1000000 in Tolichowki, Hyderabad."
BOB,Home Loan,12.22,2,100000,500000,₹8495,Salaried,Dilsukhnagar,"BOB offers a home loan at 12.22% for up to ₹500000 in Dilsukhnagar, Hyderabad."
Kotak,Vehicle Loan,11.52,20,50000,1000000,₹2685,Pensioner,Kondapur,"Kotak offers a vehicle loan at 11.52% for up to ₹1000000 in Kondapur, Hyderabad."
Axis,Home Loan,10.58,5,100000,1000000,₹2560,Salaried,Ameerpet,"Axis offers a home loan at 10.58% for up to ₹1000000 in Ameerpet, Hyderabad."
Canara,Education Loan,13.19,1,100000,2000000,₹9550,Pensioner,Ameerpet,"Canara offers a education loan at 13.19% for up to ₹2000000 in Ameerpet, Hyderabad."
SBI,Vehicle Loan,12.52,20,100000,2000000,₹1079,Self-Employed,Ameerpet,"SBI offers a vehicle loan at 12.52% for up to ₹2000000 in Ameerpet, Hyderabad."
Canara,Personal Loan,8.21,10,200000,1000000,₹5804,Salaried,Hitech City,"Canara offers a personal loan at 8.21% for up to ₹1000000 in Hitech City, Hyderabad."
HDFC,Home Loan,11.12,20,100000,1000000,₹2218,Self-Employed,Hitech City,"HDFC offers a home loan at 11.12% for up to ₹1000000 in Hitech City, Hyderabad."
BOB,Education Loan,10.0,3,200000,2000000,₹3283,Self-Employed,Mehdipatnam,"BOB offers a education loan at 10.0% for up to ₹2000000 in Mehdipatnam, Hyderabad."
Yes Bank,Personal Loan,13.3,5,50000,500000,₹2149,Government,Jubilee Hills,"Yes Bank offers a personal loan at 13.3% for up to ₹500000 in Jubilee Hills, Hyderabad."
Yes Bank,Home Loan,11.39,10,200000,2000000,₹8595,Self-Employed,Begumpet,"Yes Bank offers a home loan at 11.39% for up to ₹2000000 in Begumpet, Hyderabad."
ICICI,Home Loan,12.57,5,50000,500000,₹9771,Pensioner,Attapur,"ICICI offers a home loan at 12.57% for up to ₹500000 in Attapur, Hyderabad."
Yes Bank,Education Loan,8.0,20,200000,1000000,₹4930,Government,Hitech City,"Yes Bank offers a education loan at 8.0% for up to ₹1000000 in Hitech City, Hyderabad."
Yes Bank,Education Loan,7.45,5,50000,1000000,₹2475,Self-Employed,Secunderabad,"Yes Bank offers a education loan at 7.45% for up to ₹1000000 in Secunderabad, Hyderabad."
SBI,Home Loan,7.6,10,100000,1000000,₹4160,Self-Employed,Banjara Hills,"SBI offers a home loan at 7.6% for up to ₹1000000 in Banjara Hills, Hyderabad."
SBI,Home Loan,13.77,20,100000,2000000,₹4589,Pensioner,Ameerpet,"SBI offers a home loan at 13.77% for up to ₹2000000 in Ameerpet, Hyderabad."
PNB,Vehicle Loan,12.88,2,200000,2000000,₹4387,Self-Employed,Hitech City,"PNB offers a vehicle loan at 12.88% for up to ₹2000000 in Hitech City, Hyderabad."
PNB,Personal Loan,9.48,20,100000,500000,₹3063,Self-Employed,Kukatpally,"PNB offers a personal loan at 9.48% for up to ₹500000 in Kukatpally, Hyderabad."
Yes Bank,Vehicle Loan,10.72,3,50000,1000000,₹5756,Self-Employed,Jubilee Hills,"Yes Bank offers a vehicle loan at 10.72% for up to ₹1000000 in Jubilee Hills, Hyderabad."
Axis,Personal Loan,12.39,3,100000,1000000,₹7691,Salaried,Mehdipatnam,"Axis offers a personal loan at 12.39% for up to ₹1000000 in Mehdipatnam, Hyderabad."
BOB,Personal Loan,9.47,1,50000,1000000,₹4369,Government,Jubilee Hills,"BOB offers a personal loan at 9.47% for up to ₹1000000 in Jubilee Hills, Hyderabad."
ICICI,Education Loan,9.0,3,200000,1000000,₹9888,Self-Employed,Kondapur,"ICICI offers a education loan at 9.0% for up to ₹1000000 in Kondapur, Hyderabad."
SBI,Vehicle Loan,8.69,5,100000,500000,₹1478,Self-Employed,Madhapur,"SBI offers a vehicle loan at 8.69% for up to ₹500000 in Madhapur, Hyderabad."
PNB,Home Loan,12.63,2,50000,2000000,₹3731,Pensioner,Attapur,"PNB offers a home loan at 12.63% for up to ₹2000000 in Attapur, Hyderabad."
SBI,Vehicle Loan,12.72,3,200000,1000000,₹6566,Salaried,Kukatpally,"SBI offers a vehicle loan at 12.72% for up to ₹1000000 in Kukatpally, Hyderabad."
Kotak,Home Loan,11.87,1,50000,2000000,₹4567,Salaried,Banjara Hills,"Kotak offers a home loan at 11.87% for up to ₹2000000 in Banjara Hills, Hyderabad."
IDFC First,Home Loan,9.8,5,200000,500000,₹4013,Government,Miyapur,"IDFC First offers a home loan at 9.8% for up to ₹500000 in Miyapur, Hyderabad."
SBI,Home Loan,9.95,3,100000,500000,₹6945,Self-Employed,Miyapur,"SBI offers a home loan at 9.95% for up to ₹500000 in Miyapur, Hyderabad."
IDFC First,Education Loan,12.71,10,200000,1000000,₹8854,Salaried,Secunderabad,"IDFC First offers a education loan at 12.71% for up to ₹1000000 in Secunderabad, Hyderabad."
PNB,Vehicle Loan,9.8,1,100000,2000000,₹2155,Pensioner,Ameerpet,"PNB offers a vehicle loan at 9.8% for up to ₹2000000 in Ameerpet, Hyderabad."
HDFC,Vehicle Loan,10.29,1,100000,1000000,₹9602,Government,Kondapur,"HDFC offers a vehicle loan at 10.29% for up to ₹1000000 in Kondapur, Hyderabad."
Kotak,Home Loan,12.13,2,50000,500000,₹7624,Self-Employed,Madhapur,"Kotak offers a home loan at 12.13% for up to ₹500000 in Madhapur, Hyderabad."
PNB,Personal Loan,9.14,5,50000,2000000,₹5437,Salaried,Ameerpet,"PNB offers a personal loan at 9.14% for up to ₹2000000 in Ameerpet, Hyderabad."
Kotak,Education Loan,11.68,1,50000,2000000,₹6313,Pensioner,Dilsukhnagar,"Kotak offers a education loan at 11.68% for up to ₹2000000 in Dilsukhnagar, Hyderabad."
Axis,Personal Loan,9.15,1,50000,500000,₹9022,Government,Jubilee Hills,"Axis offers a personal loan at 9.15% for up to ₹500000 in Jubilee Hills, Hyderabad."
Axis,Home Loan,9.22,2,200000,500000,₹6865,Self-Employed,Hitech City,"Axis offers a home loan at 9.22% for up to ₹500000 in Hitech City, Hyderabad."
HDFC,Personal Loan,13.24,15,50000,2000000,₹7247,Self-Employed,Attapur,"HDFC offers a personal loan at 13.24% for up to ₹2000000 in Attapur, Hyderabad."
Axis,Personal Loan,13.9,3,50000,500000,₹6709,Self-Employed,Gachibowli,"Axis offers a personal loan at 13.9% for up to ₹500000 in Gachibowli, Hyderabad."
ICICI,Home Loan,11.91,5,50000,1000000,₹2599,Self-Employed,Attapur,"ICICI offers a home loan at 11.91% for up to ₹1000000 in Attapur, Hyderabad."
Kotak,Personal Loan,9.71,3,200000,1000000,₹6554,Self-Employed,Madhapur,"Kotak offers a personal loan at 9.71% for up to ₹1000000 in Madhapur, Hyderabad."
ICICI,Education Loan,8.89,2,100000,2000000,₹8508,Government,Miyapur,"ICICI offers a education loan at 8.89% for up to ₹2000000 in Miyapur, Hyderabad."
SBI,Education Loan,7.99,2,100000,1000000,₹2384,Self-Employed,Kondapur,"SBI offers a education loan at 7.99% for up to ₹1000000 in Kondapur, Hyderabad."
HDFC,Education Loan,13.36,5,200000,1000000,₹8188,Pensioner,LB Nagar,"HDFC offers a education loan at 13.36% for up to ₹1000000 in LB Nagar, Hyderabad."
BOB,Vehicle Loan,7.47,10,200000,500000,₹9879,Government,Mehdipatnam,"BOB offers a vehicle loan at 7.47% for up to ₹500000 in Mehdipatnam, Hyderabad."
Kotak,Personal Loan,10.08,10,200000,2000000,₹8534,Government,Gachibowli,"Kotak offers a personal loan at 10.08% for up to ₹2000000 in Gachibowli, Hyderabad."
Canara,Personal Loan,11.19,2,50000,1000000,₹8585,Government,Banjara Hills,"Canara offers a personal loan at 11.19% for up to ₹1000000 in Banjara Hills, Hyderabad."
Axis,Personal Loan,7.52,15,200000,2000000,₹4059,Pensioner,Miyapur,"Axis offers a personal loan at 7.52% for up to ₹2000000 in Miyapur, Hyderabad."
BOB,Vehicle Loan,14.4,10,50000,1000000,₹5284,Self-Employed,Ameerpet,"BOB offers a vehicle loan at 14.4% for up to ₹1000000 in Ameerpet, Hyderabad."
SBI,Education Loan,8.26,3,200000,500000,₹7242,Salaried,Hitech City,"SBI offers a education loan at 8.26% for up to ₹500000 in Hitech City, Hyderabad."
Axis,Home Loan,14.27,5,50000,2000000,₹2985,Government,Jubilee Hills,"Axis offers a home loan at 14.27% for up to ₹2000000 in Jubilee Hills, Hyderabad."
IDFC First,Home Loan,11.41,15,200000,2000000,₹7508,Self-Employed,Begumpet,"IDFC First offers a home loan at 11.41% for up to ₹2000000 in Begumpet, Hyderabad."
Kotak,Home Loan,10.09,3,50000,500000,₹5602,Government,LB Nagar,"Kotak offers a home loan at 10.09% for up to ₹500000 in LB Nagar, Hyderabad."
ICICI,Vehicle Loan,11.6,20,100000,500000,₹5757,Self-Employed,Mehdipatnam,"ICICI offers a vehicle loan at 11.6% for up to ₹500000 in Mehdipatnam, Hyderabad."
Kotak,Home Loan,12.76,5,200000,500000,₹9412,Salaried,Begumpet,"Kotak offers a home loan at 12.76% for up to ₹500000 in Begumpet, Hyderabad."
Yes Bank,Education Loan,14.76,10,200000,2000000,₹5143,Government,Hitech City,"Yes Bank offers a education loan at 14.76% for up to ₹2000000 in Hitech City, Hyderabad."
ICICI,Home Loan,11.52,20,50000,1000000,₹8938,Salaried,Ameerpet,"ICICI offers a home loan at 11.52% for up to ₹1000000 in Ameerpet, Hyderabad."
ICICI,Home Loan,7.53,3,100000,500000,₹5028,Self-Employed,Banjara Hills,"ICICI offers a home loan at 7.53% for up to ₹500000 in Banjara Hills, Hyderabad."
